epoch,epoch_total,loss,recon,svdd,excl,overlap,R_mean
1,100,1.792417,1.725711,1334.12868,0.0,0.0,0.0
2,100,1.782883,1.722934,1198.99093,0.0,0.0,0.0
3,100,1.77589,1.721098,1095.847658,0.0,0.0,0.0
4,100,1.770574,1.72012,1009.096678,0.0,0.0,0.0
5,100,1.766389,1.719655,934.680807,0.0,0.0,0.0
6,100,1.761974,1.718409,871.293262,0.0,0.0,10.1086
7,100,1.847438,1.717464,105.214592,6.577293,12.471375,9.8647
8,100,1.844392,1.71943,102.522623,4.541136,11.983598,9.8208
9,100,1.841812,1.717788,101.294885,4.386607,11.895874,9.7644
10,100,1.840013,1.717185,99.969454,4.221714,11.782909,9.7027
11,100,1.840183,1.718657,98.587202,4.044923,11.659625,9.6373
12,100,1.835906,1.71576,97.159755,3.849235,11.528889,9.5717
13,100,1.834993,1.716234,95.64653,3.694456,11.397589,9.5006
14,100,1.833062,1.7158,94.158704,3.492897,11.255406,9.4302
15,100,1.829753,1.713976,92.641238,3.312125,11.114505,9.3564
16,100,1.825778,1.711555,91.073834,3.145953,10.966982,9.283
17,100,1.82679,1.714114,89.502384,2.991372,10.820107,9.2075
18,100,1.824204,1.713115,87.93703,2.820605,10.669198,9.1317
19,100,1.821948,1.712454,86.373345,2.676893,10.517542,9.0566
20,100,1.819963,1.712047,84.851818,2.517797,10.367328,8.9831
21,100,1.819077,1.712704,83.387978,2.376225,10.220439,8.911
22,100,1.814785,1.709927,81.908873,2.249735,10.076261,8.8359
23,100,1.813794,1.710511,80.488166,2.086904,9.925894,8.7683
24,100,1.814141,1.712275,79.158875,1.949088,9.790747,8.7041
25,100,1.808685,1.708166,77.890685,1.84901,9.662449,8.6423
26,100,1.809854,1.710633,76.675096,1.7495,9.538759,8.5843
27,100,1.805657,1.707651,75.57215,1.636085,9.422736,8.531
28,100,1.803829,1.706941,74.536018,1.54748,9.316098,8.4796
29,100,1.80234,1.706527,73.600764,1.445587,9.213299,8.4337
30,100,1.800159,1.705307,72.717248,1.365355,9.121601,8.3916
31,100,1.801374,1.707404,71.916918,1.298809,9.037402,8.3544
32,100,1.799209,1.706018,71.196509,1.230242,8.963034,8.3191
33,100,1.798037,1.705587,70.535377,1.172671,8.892347,8.2875
34,100,1.797076,1.705289,69.919438,1.126913,8.829185,8.2583
35,100,1.795126,1.70395,69.36354,1.077174,8.770747,8.2313
36,100,1.794772,1.704162,68.853376,1.040638,8.716792,8.2084
37,100,1.793296,1.703166,68.404537,1.013939,8.670956,8.1866
38,100,1.796234,1.70656,67.997827,0.977156,8.627422,8.1684
39,100,1.792362,1.70307,67.630463,0.963033,8.591067,8.1499
40,100,1.789486,1.700582,67.275621,0.944052,8.553955,8.1336
41,100,1.791232,1.702669,66.967398,0.925109,8.52147,8.1199
42,100,1.788554,1.70028,66.680758,0.921628,8.49397,8.1069
43,100,1.792189,1.704188,66.432582,0.91175,8.467992,8.0954
44,100,1.787929,1.700168,66.197044,0.910525,8.44505,8.085
45,100,1.789099,1.701559,65.977214,0.909663,8.424119,8.0751
46,100,1.788542,1.701209,65.780395,0.909596,8.40441,8.0666
47,100,1.786753,1.699599,65.603045,0.910657,8.387406,8.059
48,100,1.786446,1.699452,65.435967,0.919033,8.372239,8.052
49,100,1.787193,1.700347,65.289665,0.926256,8.358153,8.0451
50,100,1.784772,1.69807,65.153056,0.930626,8.344438,8.0398
51,100,1.787534,1.700945,65.03149,0.941914,8.333773,8.0341
52,100,1.784005,1.697535,64.920504,0.949146,8.322441,8.0294
53,100,1.783765,1.697394,64.810089,0.962559,8.313002,8.0251
54,100,1.781636,1.695357,64.713393,0.973241,8.304343,8.0212
55,100,1.78376,1.697563,64.625288,0.982818,8.296639,8.017
56,100,1.785744,1.699635,64.547864,0.993014,8.288136,8.0137
57,100,1.784286,1.698247,64.469402,1.003714,8.281551,8.0112
58,100,1.783003,1.697017,64.409843,1.017558,8.276544,8.0082
59,100,1.782436,1.696513,64.338735,1.028827,8.270592,8.0056
60,100,1.781684,1.695816,64.284044,1.038658,8.265385,8.0033
61,100,1.783726,1.697906,64.230901,1.050549,8.260826,8.0011
62,100,1.781286,1.695514,64.183999,1.0595,8.256299,7.9991
63,100,1.782471,1.696739,64.138238,1.070813,8.252448,7.9973
64,100,1.781138,1.695446,64.098562,1.080477,8.248731,7.9956
65,100,1.782507,1.696849,64.060402,1.091069,8.245491,7.9942
66,100,1.779345,1.693718,64.027696,1.100528,8.242516,7.9929
67,100,1.780016,1.694415,63.995332,1.113669,8.240058,7.9915
68,100,1.779552,1.693982,63.964562,1.122762,8.237197,7.9904
69,100,1.780284,1.694737,63.940004,1.131301,8.235033,7.9892
70,100,1.781487,1.695965,63.913728,1.140722,8.232642,7.9882
71,100,1.776279,1.690777,63.88995,1.151802,8.23066,7.9874
72,100,1.779593,1.69411,63.868977,1.159655,8.2289,7.9864
73,100,1.77774,1.692278,63.851194,1.166104,8.226922,7.9857
74,100,1.777488,1.692042,63.830497,1.177007,8.225517,7.9848
75,100,1.781936,1.696507,63.816255,1.184928,8.223733,7.9844
76,100,1.782124,1.696704,63.797756,1.195867,8.222989,7.9835
77,100,1.775083,1.689682,63.784472,1.200465,8.221163,7.983
78,100,1.77696,1.69157,63.771372,1.208308,8.220119,7.9825
79,100,1.776842,1.691463,63.759134,1.217605,8.219151,7.9819
80,100,1.77641,1.691043,63.745681,1.223424,8.217941,7.9814
81,100,1.773433,1.688077,63.736152,1.228975,8.216893,7.981
82,100,1.777483,1.692135,63.7263,1.23711,8.216148,7.9805
83,100,1.776373,1.691035,63.717746,1.246056,8.215263,7.9803
84,100,1.775623,1.690289,63.709365,1.254377,8.21477,7.9798
85,100,1.777423,1.692099,63.700413,1.258199,8.213861,7.9795
86,100,1.774588,1.689272,63.692971,1.26544,8.213176,7.9791
87,100,1.774461,1.689152,63.68599,1.269696,8.212414,7.9789
88,100,1.772368,1.687065,63.678845,1.277568,8.211905,7.9787
89,100,1.772637,1.687338,63.671899,1.285494,8.211604,7.9786
90,100,1.77449,1.689193,63.66678,1.291664,8.211308,7.9782
91,100,1.773515,1.688226,63.662312,1.295733,8.210604,7.9779
92,100,1.773094,1.687811,63.656578,1.300812,8.210035,7.9777
93,100,1.772745,1.687466,63.65266,1.304302,8.209655,7.9775
94,100,1.773851,1.688576,63.648214,1.310609,8.209247,7.9773
95,100,1.772077,1.686807,63.643288,1.314636,8.208784,7.9773
96,100,1.772128,1.686859,63.639072,1.322464,8.208693,7.977
97,100,1.77011,1.684846,63.636133,1.326291,8.208225,7.9768
98,100,1.768732,1.683473,63.632556,1.328005,8.207742,7.9766
99,100,1.773376,1.68812,63.630718,1.33223,8.207488,7.9769
100,100,1.769397,1.684135,63.626828,1.343085,8.208072,7.9763
