epoch,epoch_total,loss,recon,svdd,excl,overlap,R_mean
1,100,1.791112,1.72437,1334.830358,0.0,0.0,0.0
2,100,1.783637,1.723631,1200.110839,0.0,0.0,0.0
3,100,1.77533,1.720535,1095.905127,0.0,0.0,0.0
4,100,1.772096,1.72164,1009.104616,0.0,0.0,0.0
5,100,1.767845,1.721128,934.322608,0.0,0.0,0.0
6,100,1.761522,1.717978,870.893543,0.0,0.0,10.1059
7,100,1.853331,1.718629,148.757703,0.26086,12.465555,10.7063
8,100,1.861414,1.716404,144.94097,0.109887,13.666391,11.0675
9,100,1.869182,1.717188,146.615666,0.07762,14.388733,11.3363
10,100,1.873467,1.716089,149.654808,0.063147,14.926414,11.5558
11,100,1.877727,1.715826,153.239531,0.058439,15.365445,11.7463
12,100,1.880623,1.714752,156.90994,0.056148,15.746404,11.9175
13,100,1.885312,1.715831,160.589789,0.056434,16.088758,12.0741
14,100,1.887525,1.714721,164.194344,0.057442,16.401983,12.2186
15,100,1.888658,1.712761,167.792929,0.059782,16.690945,12.3577
16,100,1.891393,1.712482,171.496701,0.064379,16.969198,12.489
17,100,1.894497,1.712749,174.948859,0.068444,17.231697,12.6161
18,100,1.898143,1.71363,178.454912,0.07316,17.485914,12.7398
19,100,1.900595,1.713383,182.006453,0.077647,17.733473,12.8602
20,100,1.899955,1.710099,185.584278,0.083486,17.974209,12.9797
21,100,1.90378,1.711279,189.019196,0.091836,18.213154,13.097
22,100,1.906019,1.710914,192.512473,0.100212,18.447729,13.2121
23,100,1.907243,1.709549,195.975454,0.111477,18.678034,13.3268
24,100,1.910864,1.710568,199.44828,0.124996,18.907341,13.4403
25,100,1.910223,1.707328,202.755747,0.141252,19.134432,13.5531
26,100,1.915399,1.709907,206.060231,0.159038,19.3599,13.6637
27,100,1.915597,1.707492,209.223063,0.18325,19.581123,13.7715
28,100,1.916968,1.706232,212.308641,0.215176,19.796881,13.8789
29,100,1.91968,1.706207,215.219159,0.259558,20.011671,13.9848
30,100,1.922621,1.706058,217.610725,0.344912,20.223362,14.0868
31,100,1.92592,1.706342,219.932917,0.430693,20.427481,14.1845
32,100,1.927582,1.705075,222.181896,0.517028,20.622829,14.2773
33,100,1.930099,1.704847,224.346743,0.595005,20.808456,14.3684
34,100,1.932952,1.704693,226.126322,0.704779,20.990509,14.4543
35,100,1.937093,1.705409,227.177759,0.870124,21.16238,14.5328
36,100,1.939593,1.704331,227.784297,1.067813,21.319424,14.6003
37,100,1.942298,1.704394,228.932426,1.191332,21.454411,14.6634
38,100,1.944258,1.704125,230.361584,1.280902,21.580566,14.7227
39,100,1.942802,1.700869,231.726672,1.335507,21.699139,14.778
40,100,1.945098,1.701627,233.221962,1.371212,21.809788,14.8329
41,100,1.948494,1.703471,234.668721,1.409375,21.919601,14.886
42,100,1.952716,1.705904,235.603119,1.477539,22.025723,14.9368
43,100,1.95316,1.704311,236.270907,1.576148,22.127407,14.9809
44,100,1.954264,1.703516,236.819651,1.67517,22.215576,15.0214
45,100,1.953844,1.701348,237.493129,1.765661,22.296526,15.0576
46,100,1.953228,1.699164,238.199042,1.84648,22.369011,15.0914
47,100,1.954375,1.699116,239.137611,1.893752,22.436527,15.1222
48,100,1.957129,1.700936,240.351562,1.919419,22.498159,15.1545
49,100,1.957597,1.700513,241.639943,1.93742,22.562769,15.1877
50,100,1.961131,1.703158,242.88406,1.953639,22.629272,15.2215
51,100,1.958447,1.699555,244.110864,1.971896,22.696785,15.2559
52,100,1.959625,1.699738,245.266777,1.99673,22.765585,15.291
53,100,1.960887,1.699916,246.336139,2.029535,22.835884,15.3266
54,100,1.959047,1.69685,247.079692,2.077311,22.907011,15.3606
55,100,1.961637,1.697834,247.174254,2.169523,22.974922,15.3896
56,100,1.965388,1.699653,246.432839,2.308355,23.033047,15.4106
57,100,1.965019,1.697564,245.484786,2.443059,23.07502,15.4242
58,100,1.967063,1.698785,245.532655,2.497957,23.102179,15.435
59,100,1.967256,1.698535,245.96784,2.51845,23.123835,15.4459
60,100,1.965424,1.696363,246.440455,2.528327,23.145531,15.4568
61,100,1.963296,1.69381,246.756939,2.547417,23.167416,15.4679
62,100,1.96751,1.697396,246.702321,2.588331,23.189592,15.478
63,100,1.96415,1.692762,245.903473,2.699515,23.209824,15.4826
64,100,1.967813,1.695592,245.187993,2.777182,23.218969,15.483
65,100,1.966291,1.69381,244.987861,2.803329,23.219824,15.4823
66,100,1.967818,1.695296,244.969583,2.80889,23.218403,15.4812
67,100,1.966342,1.693852,244.950625,2.808029,23.216206,15.4807
68,100,1.966218,1.693752,244.931669,2.806812,23.215105,15.4799
69,100,1.964703,1.692244,244.917761,2.80779,23.213543,15.4795
70,100,1.967216,1.694767,244.897566,2.807663,23.212702,15.4787
71,100,1.96579,1.693359,244.880498,2.807538,23.21121,15.4782
72,100,1.965468,1.693056,244.874852,2.806676,23.210125,15.4777
73,100,1.964455,1.692048,244.861881,2.807099,23.209227,15.4769
74,100,1.965458,1.693079,244.846847,2.806129,23.20759,15.4764
75,100,1.963739,1.69137,244.829253,2.806141,23.206617,15.4759
76,100,1.966322,1.693956,244.819008,2.80691,23.205675,15.4756
77,100,1.96601,1.693659,244.812668,2.806071,23.204937,15.4753
78,100,1.964393,1.692047,244.803957,2.806237,23.204308,15.4747
79,100,1.963688,1.691353,244.796467,2.806252,23.203283,15.4745
80,100,1.963157,1.690824,244.783584,2.806612,23.202835,15.4742
81,100,1.963683,1.691355,244.777965,2.806663,23.202269,15.4738
82,100,1.962363,1.690042,244.771163,2.806868,23.201445,15.4737
83,100,1.962302,1.689987,244.761035,2.8066,23.201145,15.4733
84,100,1.964989,1.692675,244.757532,2.80711,23.200478,15.4732
85,100,1.962746,1.690439,244.749336,2.806781,23.200195,15.4729
86,100,1.962549,1.690246,244.74113,2.806975,23.19964,15.4727
